id,question1,question2,is_duplicate
43,Zip,09-10-18 afternoon,0
44,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",09/20/18,0
45,Date of next visit for this condition (mm/dd/yy),(456) 672-5040,1
46,Has the patient been hospitalized?,M51.26,0
47,Have you advised the patient to return to work?,Yes,1
48,Spouse/Partner's Name,97 W Main St,0
49,"If yes, as of what date? (mm/dd/yy)",,0
50,Date of Birth (mm/dd/yyyy),Yes,1
51,"If yes, as of (mm/dd/yy):",04-20-17,1
52,What are the other conditions that prevent the patient from working,m25.512 m75.102,1
53,"If yes, on what date (mm/dd/yy)?",m25.512 m75.102,0
54,Date of Birth,06 13 83,1
55,4. Have you been hospitalized?,09-10-18,0
56,"If yes, how much do you want withheld from each check? (whole dollar amount)$",09-18-18,0
57,State,KY,1
58,Employee Name:,DENNIS WHITE,0
59,Address,09/20/18,0
60,Are you related to this patient?,559-297-8404,0
61,Other Family Member:,914-890-5521,0
62,Where there any complications causing you to stop work prior to your expected delivery date?,,0
63,Zip,AL,0
64,"If yes, what is the relationship",Full Time,0
65,Other Family Member:,910-734-7634,1
66,"Patient's Name (Last Name, First Name, MI, Suffix)",06 13 87,1
67,Date,"CLAUSEN, JOSEPH N.",1
68,Home Telephone Number,04-13-17,0
69,Date of first visit for this pregnancy (mm/dd/yy):,No,0
70,Has the patient been treated for the same or a similar condition by another physician in the past?,,0
71,"If yes, what is the relationship",61-1274265,0
72,What is your treatment plan?,Physical therapy after Surgery and Pain meds.,1
73,Date of Birth (mm/dd/yy),PA,0
74,Mailing Address,Orthopedic,0
75,Customer Policy #:,669513,0
76,Employer Name,,0
77,"Physical Name (Last Name, First Name, MI, Suffix) Please Print","Champman, Roger, J.",1
78,Procedure,Jefferson Hospital,0
79,Date of Birth (mm/dd/yy),432 343 1836,1
80,Signature,04-17-17,0
81,Signature of Physician,'S',1
82,Telephone No.,No,0
83,"If yes, please explain how the work related injury/illness occurred:",Herniated Disc,0
84,"Patient's Name (Last Name, Suffix, First Name, MI)",Yes,0
85,Date of Accident,5:30,1
86,Date,03-12-18,1
87,What symptoms is your patient reporting about his/her condition?,No,0
88,"Employee Name (First, Middle, Last)",Yes,0
89,Date of Birth (mm/dd/yy),MATTHEW J. LARKIN,1
90,5. Last day you were at work (mm/dd/yy),4,1
91,Was this a motor vehicle accident?,CLAUSEN,0
92,Spouse/Partner's Date of Birth (mm/dd/yy),,0
93,(Telephone Number),432-561-1937,1
94,"If yes, date hospitalized (mm/dd/yy):",04-13-17,1
95,Other person,,0
96,"If yes, what is the relationship",'S',1
97,Address,(256) 293-5095,0
98,State,915 704 8912,0
99,Actual Delivery Date (mm/dd/yy,03 11 18,0
100,Contingent beneficiary,WIFE,1
101,Fax Number,958976877,1
102,Employee ID/Payroll #,09/21/1973,0
103,What is the name of your medical condition(s)?,No,0
104,through (mm/dd/yy):,09-10-18,0
105,Zip Code,MINNESOTA,1
106,"If no, when do you expect improvement in the patient's functional capacity?","Champman, Roger, J.",1
107,Cellular Telephone Number,830 763 2514,1
108,Telephone Number,456-672-5040,1
109,Date of Birth (mm/dd/yyyy),09/21/1973,1
110,Provider Name,4462 Ritter Street,1
111,5. Last day you were at work (mm/dd/yy),09-10-18 afternoon,1
112,Printed Name,"CLAUSEN, JOSEPH N.",1
113,First Name,MARGARITA,1
114,"2. For other than pregnancy, is your disability caused by",IL,0
115,"If related to an injury, where and how did the injury occur?",Yes,1
116,City,WHITE PLAINS,1
117,Date of first visit for this condition (mm/dd/yy),09-10-18,1
118,What were your first symptoms,04-13-17,0
119,through (mm/dd/yy),06 13 83,0
120,"Patient Name (Last Name, First Name, MI, Suffix)",No,0
121,Gender,20115,0
122,Group Policy #:,669513,0
123,Date,SELF,0
124,Zip Code,WIFE,0
125,Group Accident,"Employee, Spouse",0
126,Employer:,139894,0
127,Number of Hours Worked on Date Last Worked,5,1
128,Preferred e-mail address (for confirmation purposes only),09-10-18 afternoon,0
129,What were your first symptoms,04-12-17,1
130,Printed Name,104028783,1
131,Part Time (mm/dd/yy),No,1
132,Customer Number,211085,1
133,Date od Birth (mm/dd/yy),Yes,1
134,Were you at work at the time of your accident?,03-12-18,0
135,Are you currently self-employed,IL,0
136,"If no, please explain why you are not filing a Workers' Compensation claim",Birmingham,0
137,Please include primary ICD Code or DSM-IV Multi-Axial diagnoses codes,432 343 1836,0
138,Degree/Specialty,'S',0
139,Social Security Number,Married,0
140,Employer Name,"Craig, Thomas G.",1
141,Employee ID/Payroll #,704-538-8617,1
142,Have you advise the patient to return to work?,8,0
143,Customer #:,491 22 7531,1
144,What were your first symptoms,5,0
145,Has the patient been hospitalized?,Jefferson Hospital,0
146,"If related to an injury, where and how did the injury occur?",No,0
147,"If related to an injury, where and how did the injury occur?",4,0
148,EE DOB:,,0
149,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",Blank,0
150,"If claim is for a child, please state your relationship to the child",03-11-18,1
151,"If yes, as of (mm/dd/yy):",No driving Limited use of Left Shoulder,0
152,Address,41017,0
153,Does the spouse live in the US?,4536 CONCORD STREET,0
154,5. Last day you were at work (mm/dd/yy),Married,0
155,(Telephone Number),HUSBAND,0
156,What diagnostic or clinical findings support your diagnosis?,,0
157,Last Name,09-11-18,0
158,City,,0
159,Has the patient been hospitalized?,"CRAIG, THOMAS",0
160,"If you have not returned to work, when do you expect to return?",No,1
161,Full Time (mm/dd/yy),No,1
162,EE Name:,139894,1
163,Telephone No.,(229) 460 6725,1
164,What diagnostic or clinical findings support your diagnosis?,Unknown,0
165,Has the patient been treated for the same/similar condition in the past?,Unknown,1
166,State Income Tax,No,0
167,Is the claim the result of a work related injury or illness?,Yes,1
168,"If yes, has a Workers' Compensation claim been filed?",,0
169,3. Is your condition work related?,,0
170,"If yes, please explain:",,0
171,Preferred e-mail address (for confirmation purposes only),josephNclausen@jour.com,1
172,"Name (First, Middle, Last)",DOROTHY R WHITE,1
173,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",559-297-8517,0
174,What is your medical condition?,,0
175,Is the patient's condition due to injury or sickness involving the patient's employment?,m25.512 m75.102,0
176,"If yes, please explain",09-10-18,1
177,Apt. #,04-12-17,0
178,Part-time hours per day,2,1
179,Employee's Name (Last Name,Lifting heavy objects,0
180,Date of first visit for this current condition(s) (mm/dd/yy):,09-10-18,1
181,Date you were first treated by a physician (mm/dd/yy),,0
182,"2. For other than pregnancy, is your disability caused by",,0
183,Date of Birth (mm/dd/yy),560 SOUTH LOOP ROAD,0
184,Policyholder Signature,03-12-18,1
185,Part-time hours per week,No,0
186,Did you advice your patient to stop working?,Yes,1
187,Suffix,432 343 1836,0
188,What is the primary diagnosis preventing the patient from working?,m25.512 m75.102,1
189,Date of Birth (mm/dd/yy),Limited Use of Left Shoulder,0
190,Telephone Number,256-293-5095,1
191,in.,6,1
192,Group Accident,,0
193,"If yes, what is the relationship",04-20-17,0
194,"Insured's Name (Last Name, Suffix, First Name, MI)",CLAUSEN JOSEPH N,1
195,City,35203,0
196,Medical Specialty,Yes,0
197,Date of Birth (mm/dd/yy),02/04/1965,1
198,Accident Policy Number,josephNclausen@jour.com,1
199,Fax Number,11/20/18,0
200,Date of Visit/Admission (mm/dd/yy),,0
201,Have you advise the patient to return to work?,Yes,1
202,"Patient's Name (Last Name, Suffix, First Name, MI)","ARANDA, ELMER, F",1
203,Insured's Signature,"CLAUSEN, JOSEPH N.",0
204,Address,Birmingham,1
205,Application Type:,Newly Eligible,1
206,"If claim is for a child, please state your relationship to the child",Spouse/Domestic Partner,1
207,City,06 13 83,0
208,Is the patient's condition due to injury or sickness involving the patient's employment?,Yes,0
209,Date (mm/dd/yyyy),07-14-2018,1
210,Please check all types of coverage you have with Unum,04-13-17,0
211,Is this a work related injury or accident?,(456) 672-5040,0
212,Cellular Telephone Number,,0
213,"If yes, on what date (mm/dd/yy)?",04-15-17,0
214,Zip,04-15-17,1
215,Physician Signature,No,0
216,State,DENNIS V. WHITE,0
217,Home Address,97 W Main St,1
218,"If no, please explain why you are not filing a Workers' Compensation claim",Yes,1
219,Part-time hours per week,08 10 68,0
220,"If yes, have you filed a Worker's Compensation claim?",I was at Working trying to bring a box of tools into my workplace.,1
221,[Optional Employee selected benefit],DOROTHY R WHITE,0
222,Occupation,WIFE,0
223,Spouse/Partner's Date of Birth (mm/dd/yy),English,0
224,Is the claim the result of a work related injury or illness?,495 202 8689,0
225,Are you currently self-employed,Married,1
226,"Name of Patient (Last Name, Suffix, First Name, MI)","ARANDA, ELMER, F",1
227,Date of Birth (mm/dd/yy),15025,0
228,Full Time Part Time,Part Time,0
229,Patient's Height:,09/18/18,0
230,Lanuage Preference,English,1
231,Have you returned to work,Yes,1
232,Date of next office visit (mm/dd/yy):,08 10 68,0
233,Occupation,2748 ROCKET DRIVE,1
234,Work Phone #,M,0
235,Policyholder Signature,432-561-1937,0
236,Have you stopped working?,EDITH,0
237,Date of next visit for this condition (mm/dd/yy),No,0
238,Actual Delivery Date (mm/dd/yy):,976 587 1052,0
239,"If you have not returned to work, when do you expect to return?",,0
240,Did you advice your patient to stop working?,No,0
241,Actual Delivery Date (mm/dd/yy,CLAUSEN EDITH S,0
242,Social Security Number,COYANOSA,0
243,please initial here,2,1
244,Home Phone #,704-538-8617,1
245,V,06 13 83,0
246,Customer Policy #:,860191,1
247,"Patient Name (Last Name, First Name, MI, Suffix)",,0
248,Signature of Physician,IL,0
249,Other person:,"Clausen, Edith, S.",0
250,Has the patient been hospitalized?,Percocel 51325,0
251,First Name,S,0
252,Work Phone #,4536 CONCORD STREET,0
253,Degree,958976877,0
254,Through,M51.26,0
255,Date of next examination (mm/dd/yy):,No,0
256,Patient's Weight,,0
257,Have you already delivered?,06 13 83,1
258,Please list specific duties of your accupation/job are you unable to perform due to your medical condition?,,0
259,Social Security Number,MARGARITA MARDUN,0
260,State,432 343 1836,0
261,Last Name,Voluntary Accident Insurance,0
262,State,559-297-8404,0
263,Expected Delivery Date (mm/dd/yy):,L 4-5 disc herniation resulting in R Ls radiculopathy,0
264,SS #:,491 22 7531,0
265,Primary ICD Code:,M51.26,1
266,Date of Birth (mm/dd/yy),04-13-17,0
267,Physician Signature,CLAUSEN JOSEPH N,0
268,Treating Physician Telephone Number,'S',0
269,Social Security Number,SELF,0
270,State,TX,1
271,"Employee/Individual's Name (Last Name, Suffix, First Name, MI)",06 13 83,1
272,Date the injury occurred (mm/dd/yy),559 65 7651,0
273,Part-time hours per week:,,0
274,"If yes, please explain:",09-10-18,0
275,Date of Discharge (mm/dd/yy),,0
276,My Spouse:,04-15-17,0
277,Employee's Name (Last Name,"ARANDA,ELMER,F",1
278,"If yes, expected return to work date (mm/dd/yy):",04-20-17,0
279,Are you currently working with the Employer listed on this application?,55402,0
280,Were you at work at the time of your accident?,josephNclausen@jour.com,0
281,Was surgery performed?,Yes,1
282,City,josephNclausen@jour.com,0
283,Language Preference,English,1
284,Printed Name,MARGARITA MARDUN,0
285,Preferred e-mail address (for confirmation purposes only),YA,0
286,Fax Number,03-12-18- 04-09-18,0
287,Gender,2748 ROCKET DRIVE,0
288,Date of Birth (mm/dd/yy),"Champman, Roger, J.",0
289,Did you advise your patient to stop working?,Vaginal C-Section,1
290,Please include primary ICD Code or DSM-IV Multi-Axial diagnoses codes,m25.512 m75.102,1
291,"Employee/Individual's Name (Last Name, Suffix, First Name, MI)","ARANDA, ELMER, F.",1
292,Actual Delivery Date (mm/dd/yy):,,0
293,First Name,,0
294,Contingent beneficiary,,0
295,Relationship to Insured/Policyholder (check one),,0
296,Degree/Specialty,MD,1
297,"If you hane delivered, what was your delivery date? (mm/dd/yy)",No,1
298,"Employee Name (Last Name, Suffix, First Name, MI)","Maroun, Margarita B",1
299,Employer Name,emp928212,1
300,Date Signed,04-15-17,1
301,Full Time Part Time,1557 Edgewood Ave,0
302,Primary beneficiary,09/21/1973,1
303,Employer selected benefit[s],Wellness,1
304,Date Signed,"ARANDA, ELMER, F.",1
305,Physician Signature,04-09-18,1
306,Is this condition the result of an accidental injury?,Yes,1
307,"If yes, date hospitalized (mm/dd/yy):","ARANDA, ELMER, F",0
308,First Name,Herniated Disc,0
309,"Patient Name (Last Name, First Name, MI, Suffix)",01 28 75,1
310,Employer Name,MARIA D. WILLOUGHBY,1
311,State,"Craig, Thomas G.",0
312,Date Surgery Performed (mm/dd/yy),15025,0
313,"If yes, what is the relationship?",,0
314,Primary Diagnosis:,L 4-5 disc herniation resulting in R Ls radiculopathy,1
315,Work Telephone Number,541 997 2817,1
316,Date of Birth (mm/dd/yy),03-12-18,0
317,Zip Code,,0
318,Date of Birth (mm/dd/yy),"Employee, Spouse",0
319,Language Preference,EDITH,0
320,Date of Birth (mm/dd/yy),09/20/18,0
321,Treating Physician Name,03-12-18,0
322,Medications (Please attach medication log),04-15-17,0
323,Number of Hours Worked on Date Last Worked,04-13-17,1
324,Suffix,MAROUN,1
325,"If yes, please explain how the work related injury/illness occurred:",I was at Working trying to bring a box of tools into my workplace.,1
326,The State in which you work,Yes,0
327,Signature,"Jason Mullaney, MD",0
328,Mailing Address,(456) 672-5040,1
329,"Employee Name (First, Middle, Last)",,0
330,Customer Policy #:,"WILLOUGHBY, MARIA D.",0
331,Date of Hire (mm/dd/yy),"Employee, Spouse",0
332,Physician Tax ID Number:,1557 Edgewood Ave,0
333,Social Security Number,HUSBAND,0
334,"If yes, employer name","Maroun, Marcus",0
335,please initial here,,0
336,Specialty,Birmingham,1
337,Prefered e-mail address (for confirmation purposes only),Short Term Disability,0
338,Customer Policy #:,139894,1
339,Fax Number,559-297-8517,1
340,Other person:,04-15-17,0
341,Date of Birth (mm/dd/yy),M,1
342,Please check all types of coverage you have with Unum.,Yes,0
343,Do you support your patient's return to work within the restrictions and limitations you provided?,04-20-17,1
344,Zip Code,55402,1
345,Group Policy #:,"WILLOUGHBY, MARIA D.",1
346,Fax Number,02 18 67,0
347,Date,09-19-18,1
348,State Income Tax,Yes,0
349,Fax Number,61-1274265,1
350,Telephone Number,559-297-8517,1
351,IV,m25.512 m75.102,1
352,Telephone Number where we can reach you,B,0
353,Date of last office visit (mm/dd/yy):,,0
354,EE Name:,572617254,1
355,When did you first notice the symptoms?,04-13-17,1
356,Telephone Number,495 202 8689,0
357,C. Information About the Patient (if different from Insured/Policyholder) Check one:,No,0
358,Employee's Name (Last Name,,0
359,IV,,0
360,Social Security Number,104 02 8783,0
361,"If yes, date of delivery (mm/dd/yy):",35203,0
362,Provider Name,PA,0
363,Insured's Signature,617-54-1889,0
364,City,NY,1
365,Customer #:,867341,1
366,Cost per pay period,09/21/1973,0
367,Apt. #,3711 LAUREL LANE,1
368,Diagnosis:,02 18 37,0
369,Have you already delivered?,,0
370,"Employee Name (First, Middle, Last)",M,0
371,ICD Code:,,0
372,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",03 11 18,0
373,State Income Tax,20,0
374,Employee's Name (Last Name,Birmingham,0
375,Hours per day,No driving Limited use of Left Shoulder,1
376,Date of next office visit (mm/dd/yy):,12-18-18,1
377,State,04-12-17,0
378,What type of delivery?,YA,0
379,Provider Name,Roger Champman,1
380,State,958976877,0
381,Expected Delivery Date (mm/dd/yy):,12-18-18,0
382,City,79730,0
383,My Spouse:,Self,0
384,Degree/Specialty,1557 Edgewood Ave,1
385,Group Policy #:,864053,1
386,City,LAWYER,1
387,Please provide the duration of these restrictions and limitations. From (mm/dd/yy):,60005,0
388,My Spouse:,'S',0
389,Through,m25.512 m75.102,0
390,Cellular Telephone Number,ELMER,0
391,Zip,"Maroun, Margarita B",0
392,"If yes, what type of delivery?",15025,0
393,Please check the type of claim you re filing:,03-12-18,0
394,Date of Birth (mm/dd/yy),104 02 8783,1
395,ft.,5,0
396,Number of Hours Worked on Date Last Worked,English,0
397,(Telephone Number),559-65-7651,0
398,Date Last Worked (mm/dd/yy),,0
399,City,28090,0
400,Have you already delivered?,4462 Ritter Street,0
401,Policyholder Signature,'S',1
402,in.,5,1
403,Date,859-301-2663,0
404,Please check the type of claim you re filing:,02 18 37,0
405,Please check all types of coverage you have with Unum,,0
406,Employer Name,4536 CONCORD STREET,0
407,Date of Birth (mm/dd/yy),08 10 68,1
408,Did you advise your patient to stop working?,"MAROUN, MARGARITA B",0
409,Social Security Number,,0
410,CURRENT LIMITATIONS (activities patient cannot do),Yes,1
411,"If your patient has CURRENT RESTRICTIONS (activities patient should not do) and/or LIMITATIONS (activities patient cannot do) list below. Please be specific and understand that a reply of ""no work"" or ""totally disabled"" will not enable us to evaluate your patient's claim for benefits and may result in us having to contact you for clarification.",09/20/18,1
412,Date of last office visit (mm/dd/yy):,Vaginal C-Section,0
413,Telephone No.,,0
414,Telephone No.,(256) 293-5095,1
415,SS #:,,0
416,CPT Code:,22505,1
417,My Spouse:,910-734-7634,0
418,Social Security Number,104 42 7346,1
419,"3. In the past 12 months, have you or your spouse (if applying) been diagnosed with or received treatment by a medical professional for:",'S',0
420,"If yes, as of what date? (mm/dd/yy)","M25.562, S83.242D",0
421,Date Signed,09-19-18,0
422,Fax No.,09-10-18,1
423,Other Family Member:,432-561-1937,1
424,Is this condition the result of his/her employment,No,0
425,Are you currently working with the Employer listed on this application?,M,0
426,Actual Delivery Date (mm/dd/yy):,"CRAIG, THOMAS",1
427,What percentage of the Short Term Disability benefit is taxable?,Yes,0
428,3. Is your condition work related?,07-01-66,0
429,Part-time hours per week:,No,1
430,"If yes, how much do you want withheld from each check? (whole dollar amount)$",,0
431,Date of Birth (mm/dd/yy),I was at work trying to lift a box of tools but it was a bit too heavy for me. My back felt a sharp pain afterwards,0
432,Address,09-19-18,0
433,Date,"ARANDA, ELMER, F",1
434,Spouse/Partner's Date of Birth (mm/dd/yy),No,1
435,Actual Delivery Date (mm/dd/yy):,09/18/18,0
436,Please check all types of coverage you have with Unum,Short Term Disability,1
437,"Patient's Name (Last Name, Suffix, First Name, MI)",Arthroscopy L Shouler,0
438,State,Male,0
439,Please check all types of coverage you have with Unum,5,0
440,Procedure,Pre Opt,1
441,EE Name:,461568,0
442,Full Time (mm/dd/yy):,No,1
443,"If yes, date hospitalized (mm/dd/yy):",Herniated Disc,0
444,2. Have you (applicant) or your spouse (if applying) been diagnosed with or received treatment for Acquired Immune Deficiency Syndrome (AIDS)?,No,0
445,Spouse DOB,08-15-47,0
446,Date the injury occurred (mm/dd/yy),432 343 1836,0
447,Facility Name,Jefferson Hospital,1
448,Group Accident,MEGHAN C BROWN,0
449,When did you first notice the symptoms?,559 65 7651,0
450,ft.,0,0
451,Name,Thomas Craig,1
452,Date Surgery Performed (mm/dd/yy):,09-10-18,0
453,"If yes, on what date (mm/dd/yy)?",09-10-18,0
454,"If yes, as of what date? (mm/dd/yy)",02 18 67,0
455,What is the primary diagnosis preventing the patient from working?,,0
456,Were there any complications causing you to stop work prior to your expected delivery date?,No,0
457,Date you were first treated by a physician (mm/dd/yy),09-10-18,1
458,Were you at work at the time of your accident?,WHITE PLAINS,0
459,Signature,CLAUSEN JOSEPH N,0
460,State,Blank,0
461,Zip,Yes,0
462,State,YA,1
463,Patient's Height:,12-18-18,0
464,Relationship,704-538-8617,0
465,Social Security Number,08 10 68,1
466,Have you advise the patient to return to work?,Full Time,0
467,Preferred e-mail address (for confirmation purposes only),Marga.br@chammy.info,1
468,"Patient's Name (Last Name, Suffix, First Name, MI)",,0
469,Were you at work at the time of your accident?,,0
470,"If yes, date hospitalized (mm/dd/yy):",09/10 - 09/18/18,0
471,Signature of Physician,09/20/18,0
472,State,Arlington Heights,0
473,Telephone Number,20 %,0
474,Patient's Height:,,0
475,"If yes, date of accident (mm/dd/yy)",Blank,0
476,MI,4,0
477,Employee ID/Payroll #,192-78-2587,0
478,Do you support your patient's return to work within the restrictions and limitations you provided?,"ARANDA, ELMER, F",0
479,Unknown,No,1
480,Patient Telephone Number,,0
481,Delivery Type:,m25.512 m75.102,0
482,Treating Physician Name,'S',0
483,Diagnosis:,Vaginal C-Section,0
484,"Name of Patient (Last Name, Suffix, First Name, MI)",559 65 7651,1
485,Employee (Applicant) Signature,'S',0
486,E-mail Address,,0
487,Employee (Applicant) Signature,,0
488,Gender,192-78-2587,1
489,Other person:,914-890-5521,1
490,City,No driving Limited use of Left Shoulder,0
491,EE DOB:,461568,0
492,Social Security Number,559-65-7651,1
493,Are you related to this patient?,No,1
494,Telephone Number,859-301-2663,1
495,Address,04-15-17,0
496,First Name,03-12-18,0
497,Last Name,ARANDA,1
498,Are you currently working with the Employer listed on this application?,Newly Eligible,0
499,Address,565 Coal Valley Rd,1
500,Language Preference,WHITE PLAINS,0
501,MI,F,1
502,Date of Birth (mm/dd/yy),06 13 87,1
503,Date Signed,617-54-1889,0
504,"If yes, what procedure was performed?",Arthroscopy L Shouler,0
505,"If related to an injury, where and how did the injury occur?",,0
506,Diagnosis:,859-817-7848,0
507,Date Surgery Performed (mm/dd/yy),,0
508,"2. For other than pregnancy, is your disability caused by",No,0
509,Home Telephone Number,CLAUSEN,0
510,Confinement Dates: (mm/dd/yy),,0
511,"Patient Name (Last Name, First Name, MI, Suffix)",CLAUSEN EDITH S,1
512,Language Preference,914 890 5521,0
513,Date of Birth (mm/dd/yyyy),,0
514,"If no, when do you expect improvement in the patient's functional capacity?",04-20-17,1
515,"If yes, what was the last day that you worked? (mm/dd/yy)",Short Term Disability,0
516,"Insured's Name (Last Name, Suffix, First Name, MI)",'S',0
517,Zip,No,0
518,First Name,F,1
519,"If yes, on what date (mm/dd/yy)?",08 10 68,0
520,"Name (First, Middle, Last)",,0
521,Date of next visit for this condition (mm/dd/yy),(456) 672-5040,0
522,"If yes, please explain",,0
523,Employer Name,559 65 7651,0
524,Accident Policy Number,10601,0
525,Full Time Part Time,IL,0
526,Last Name,Severe Pain,0
527,First Name,TX,0
528,Have you advised the patient to return to work?,Yes,0
529,Date Last Worked (mm/dd/yy),elmerfaranda83@yahoo.com,0
530,Is patient still under your care?,04-13-17,1
531,MI,02 18 37,1
532,Preferred e-mail address (for confirmation purposes only),English,0
533,Date of Birth (mm/dd/yyyy),686-05-0758,0
534,Address,"Champman, Roger, J.",0
535,Were there any complications causing you to stop work prior to your expected delivery date?,MARGARITA,0
536,Date Hospitalized (mm/dd/yy):,09-18-18,0
537,Specialty,(456) 672-5040,1
538,4. Have you been hospitalized?,09-11-18,0
539,Treating Physician Telephone Number,HUSBAND,0
540,Date of Birth (mm/dd/yy),830 763 2514,0
541,Other Family Member:,910-734-7634,0
542,Where and how did the injury occur?,04-13-17,0
543,Date the injury occurred (mm/dd/yy),04-12-17,1
544,Customer Policy #:,669513,1
545,Date of Birth (mm/dd/yy),WIFE,0
546,What is your expected delivery date? (mm/dd/yy),,0
547,"If yes, please explain how the work related injury/illness occurred:",,0
548,Facility Name,565 Coal Valley Rd,1
549,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",,0
550,Are you related to this patient?,MD,0
551,Date (mm/dd/yyyy),5,0
552,Was surgery performed?,Vaginal C-Section,0
553,Gender,Spouse/Domestic Partner,1
554,"Employee/Individual's Name (Last Name, Suffix, First Name, MI)",04-17-17,0
555,"If you have not returned to work, when do you expect to return?",Orthopedic,0
556,"Employee Name (Last Name, Suffix, First Name, MI)",495 202 8689,0
557,Date,'S',0
558,Employee Name:,,0
559,Physician Tax ID Number:,21-0046005,1
560,Is this a work related injury or accident?,Got hurt on the job,1
561,Date of last office visit (mm/dd/yy):,09-18-18,1
562,Expected Delivery Date (mm/dd/yy):,,0
563,Employer selected benefit[s],M,0
564,Have you advised the patient to return to work?,60005,0
565,Time of Accident,5:30,1
566,Date of next visit for this condition (mm/dd/yy),,0
567,Expected Delivery Date (mm/dd/yy),Blank,1
568,Diagnosis:,04-09-18,0
569,Degree,4462 Ritter Street,1
570,C. Information About the Patient (if different from Insured/Policyholder) Check one:,Spouse,0
571,through (mm/dd/yy):,09-10-18,1
572,"If yes, please provide restrictions and limitations",976 587 1052,0
573,Date,HUSBAND,1
574,Is the patient's condition due to injury or sickness involving the patient's employment?,m75.102,0
575,My Spouse:,"Clausen, Edith, S.",1
576,Date of first visit for this condition (mm/dd/yy),(456) 672-5040,1
577,"If yes, what type of delivery?",,0
578,State,03-12-18,0
579,Date of Birth (mm/dd/yy),Spouse,0
580,Lanuage Preference,,0
581,Treatment Dates:,,0
582,EE Name:,"ROSEN , ALBERT , K",1
583,"If yes, date hospitalized (mm/dd/yy):",PA,0
584,Do you support your patient's return to work within the restrictions and limitations you provided?,35203,0
585,Were there any complications causing you to stop work prior to your expected delivery date?,,0
586,Social Security Number,09-19-18,0
587,Zip,20115,1
588,Are you related to this patient?,,0
589,Date Surgery Performed (mm/dd/yy),04-13-17,0
590,My Spouse:,HUSBAND,0
591,Physician's Tax ID Number:,,0
592,"Patient Name (Last Name, First Name, MI, Suffix)",03 11 18,0
593,[Optional Employee selected benefit],09/21/1973,0
594,What percentage of the Short Term Disability benefit is taxable?,495 202 8689,0
595,Printed Name,'S',0
596,Date of next examination (mm/dd/yy):,m25.512 m75.102,0
597,City,Arlington Heights,1
598,4. Have you been hospitalized?,Yes,1
599,City,41017,0
600,Suffix,3711 LAUREL LANE,0
601,Employer Name,"Craig, Thomas G.",0
602,Treatment Dates:,03 12 18,1
603,Please check all types of coverage you have with Unum,Voluntary Accident Insurance,1
604,"If known, please check all type of coverage you have with Unum.",WHITE PLAINS,0
605,"If yes, what is the relationship",03-12-18- 04-09-18,0
606,Do yo work for another employer?,No,1
607,Unknown,,0
608,"Employee Name (Last Name, Suffix, First Name, MI)",20,0
609,Social Security Number,03-11-18,0
610,"If the employee is released to return-to-work in restricted duty, are you willing to discuss accommodations?",Thomas Craig,1
611,"If no, please explain why you are not filing a Workers' Compensation claim",(456) 672-5040,0
612,Did you advice your patient to stop working?,,0
